frame 1472
2;7;0.8994
3;9;0.8947
3;9;0.8958
2;9;0.8961
2;10;0.8856
2;8;0.8849
2;10;0.8831
3;11;0.8842
2;10;0.8861
2;10;0.8786
2;8;0.8796
2;10;0.8756
3;11;0.8632
2;10;0.8626
2;11;0.8389
2;10;0.8330
2;11;0.8052
2;10;0.8101
1;12;0.7861
2;11;0.7572
1;11;0.7561
1;12;0.7345
1;11;0.7344
1;11;0.7288
1;11;0.6927
1;11;0.7003
1;11;0.6818
1;11;0.6810
1;11;0.6871
1;12;0.6364
0;12;0.4934
0;12;0.1841
0;12;0.0059
0;12;-0.0038
0;12;-0.0065
0;12;-0.0094
0;12;-0.0128
0;12;-0.0165
0;12;-0.0159
0;12;-0.0139
0;12;-0.0159
0;12;-0.0121
0;12;-0.0161
0;12;-0.0162
0;12;-0.0012
0;12;0.1162
1;12;0.2775
1;11;0.4049
1;11;0.4798
1;11;0.5223
1;11;0.5623
1;11;0.5535
1;11;0.5111
1;11;0.4300
1;11;0.2142
0;11;-0.0488
0;11;-0.0554
0;11;-0.0551
0;11;-0.0546
0;11;-0.0552
0;11;-0.0525
0;11;-0.0542
0;11;-0.0527
0;11;-0.0513
0;11;-0.0349
1;11;0.0811
1;10;0.2087
1;10;0.2670
1;10;0.3397
1;10;0.3634
1;10;0.3752
1;10;0.3251
1;10;0.2058
1;10;0.0195
1;10;-0.0223
0;10;-0.0226
0;10;-0.0204
1;10;-0.0266
0;10;-0.0142
1;10;-0.0169
1;10;-0.0099
1;9;0.0759
1;9;0.2136
1;9;0.3297
1;9;0.3895
1;8;0.4383
1;8;0.4516
2;8;0.4523
2;8;0.4308
1;8;0.3858
1;8;0.2601
1;8;0.0820
1;8;-0.0490
1;8;-0.0497
1;8;-0.0508
1;8;-0.0549
1;8;-0.0467
1;8;-0.0516
1;8;-0.0451
1;8;-0.0240
1;8;0.0744
1;7;0.1704
1;7;0.2434
2;7;0.3030
2;7;0.3411
2;6;0.3454
2;6;0.3214
1;5;0.2533
1;5;0.0928
1;6;-0.0266
1;6;-0.0284
1;6;-0.0257
1;6;-0.0259
1;6;-0.0261
1;6;-0.0244
1;6;-0.0218
1;6;0.0367
1;5;0.2139
2;5;0.2852
2;5;0.3405
2;5;0.3821
2;5;0.3976
2;4;0.4015
1;4;0.3337
1;4;0.2349
1;4;0.0695
0;4;-0.0402
0;4;-0.0491
0;4;-0.0573
0;4;-0.0599
0;4;-0.0472
0;4;-0.0476
0;4;-0.0016
1;4;0.1126
1;4;0.2551
1;3;0.3458
1;3;0.3712
1;3;0.3864
1;3;0.3824
1;3;0.3327
1;3;0.2697
1;3;0.1415
1;3;-0.0159
1;3;-0.0261
1;3;-0.0252
1;3;-0.0264
1;3;-0.0253
1;3;-0.0244
1;3;0.0097
1;2;0.1480
1;2;0.2893
1;2;0.3893
5;8;0.4509
5;8;0.4753
5;8;0.4625
5;8;0.4410
1;2;0.3699
1;2;0.1798
1;1;-0.0017
1;1;-0.0109
1;1;-0.0145
1;1;-0.0126
1;1;-0.0096
1;1;-0.0038
1;1;0.0351
1;1;0.1683
1;1;0.3118
5;8;0.4108
5;8;0.4220
5;8;0.4515
5;8;0.4403
5;8;0.4382
5;8;0.4319
1;1;0.3439
1;1;0.1440
0;0;-0.0165
0;0;-0.0272
0;0;-0.0269
0;0;-0.0266
0;0;-0.0232
0;0;-0.0121
1;0;0.0155
1;0;0.1154
1;1;0.2724
2;1;0.3403
2;1;0.3809
2;1;0.4023
2;1;0.3848
2;1;0.3920
2;1;0.3533
2;1;0.2852
2;1;0.1904
2;1;0.0043
3;1;-0.0380
3;1;-0.0380
3;1;-0.0352
3;1;-0.0413
3;1;-0.0400
3;1;-0.0319
3;1;0.0078
3;1;0.1545
3;1;0.2678
3;1;0.3320
4;1;0.3680
4;2;0.3654
4;1;0.3439
4;1;0.2986
4;2;0.2175
4;1;0.0997
4;1;-0.0762
4;1;-0.1132
4;1;-0.1140
4;1;-0.1163
4;1;-0.1138
4;1;-0.1051
4;1;-0.0951
4;1;-0.0115
5;1;0.0490
5;1;0.1711
5;1;0.2365
5;2;0.2810
5;1;0.3220
5;1;0.3221
5;2;0.3079
5;1;0.2810
6;1;0.2039
6;1;0.0604
6;1;-0.0181
6;1;-0.0196
6;1;-0.0227
6;1;-0.0235
6;1;-0.0225
6;1;-0.0189
6;1;0.0045
6;1;0.0723
6;1;0.1794
6;1;0.2648
6;1;0.3225
6;1;0.3544
6;2;0.3520
6;2;0.3527
6;2;0.3048
6;2;0.2416
6;2;0.1459
7;1;0.0024
7;1;-0.0113
7;1;-0.0187
7;1;-0.0203
7;1;-0.0186
7;1;-0.0103
7;2;0.0261
6;2;0.1027
6;2;0.2099
6;2;0.3051
6;2;0.3696
6;2;0.4020
6;2;0.4164
6;2;0.4008
6;2;0.3535
7;2;0.2539
7;2;0.0219
7;2;-0.0487
